X,Y,ASCII,Foreground,Background
0,0,32,#000000,#000000
1,0,32,#000000,#000000
2,0,32,#000000,#000000
3,0,32,#000000,#000000
4,0,42,#9933FF,#000000
5,0,32,#000000,#000000
6,0,32,#000000,#000000
7,0,32,#000000,#000000
0,1,32,#000000,#000000
1,1,32,#000000,#000000
2,1,32,#000000,#000000
3,1,42,#9933FF,#000000
4,1,35,#D966FF,#000000
5,1,35,#D966FF,#000000
6,1,42,#9933FF,#000000
7,1,32,#000000,#000000
0,2,32,#000000,#000000
1,2,32,#000000,#000000
2,2,42,#9933FF,#000000
3,2,35,#D966FF,#000000
4,2,35,#D966FF,#000000
5,2,35,#D966FF,#000000
6,2,35,#D966FF,#000000
7,2,42,#9933FF,#000000
0,3,32,#000000,#000000
1,3,42,#9933FF,#000000
2,3,35,#D966FF,#000000
3,3,35,#D966FF,#000000
4,3,35,#D966FF,#000000
5,3,35,#D966FF,#000000
6,3,42,#9933FF,#000000
7,3,32,#000000,#000000
0,4,32,#000000,#000000
1,4,32,#000000,#000000
2,4,42,#9933FF,#000000
3,4,35,#D966FF,#000000
4,4,35,#D966FF,#000000
5,4,42,#9933FF,#000000
6,4,32,#000000,#000000
7,4,32,#000000,#000000
0,5,32,#000000,#000000
1,5,32,#000000,#000000
2,5,32,#000000,#000000
3,5,32,#000000,#000000
4,5,42,#9933FF,#000000
5,5,32,#000000,#000000
6,5,32,#000000,#000000
7,5,32,#000000,#000000
